dispute_id,predicted_category,confidence,explanation,contains_fraud_keyword,contains_refund_keyword,is_verified_duplicate,is_verified_failed,txn_type,amount,created_at,suggested_action,justification,status
D001,DUPLICATE_CHARGE,0.9775765329876154,"Prediction primarily based on: the rule 'contains duplicate keyword' was triggered, the rule 'is verified duplicate' was triggered, the keyword 'charg'.",0,0,1,0,UPI,999,2025-08-01 10:23:11,Auto-refund,High-confidence prediction validated by transaction data; amount is within auto-approval limit.,unresolved
D002,FAILED_TRANSACTION,0.9700865890131132,"Prediction primarily based on: the rule 'is verified failed' was triggered, the keyword 'fail', the keyword 'money'.",0,1,0,1,NEFT,1250,2025-08-01 11:55:09,Escalate to bank,NEFT transactions require inter-bank communication and have longer settlement cycles.,unresolved
D003,FAILED_TRANSACTION,0.9899203250455714,"Prediction primarily based on: the rule 'is verified failed' was triggered, the keyword 'fail', the keyword 'money'.",0,1,0,1,CARD,500,2025-08-01 12:10:43,Auto-refund,High-confidence prediction of a failed but debited transaction; amount is within auto-approval limit.,unresolved
D004,FRAUD,0.9611523219515856,"Prediction primarily based on: the rule 'contains fraud keyword' was triggered, the keyword 'fraud', the keyword 'make'.",1,0,0,0,CARD,1200,2025-08-01 13:30:01,Mark as potential fraud,"Prediction indicates a high risk of fraud, requiring immediate security review.",unresolved
D005,REFUND_PENDING,0.5194875890152277,"Prediction primarily based on: the rule 'contains refund keyword' was triggered, the keyword 'refund', the keyword 'cancel'.",0,1,0,1,CARD,750,2025-08-01 14:02:18,Manual review,Category 'REFUND_PENDING' requires an agent to check the merchant's refund status.,unresolved
D006,DUPLICATE_CHARGE,0.9878252134119268,"Prediction primarily based on: the rule 'contains duplicate keyword' was triggered, the rule 'is verified duplicate' was triggered, the keyword 'charg'.",0,0,1,0,CARD,1499,2025-08-01 15:11:05,Auto-refund,High-confidence prediction validated by transaction data; amount is within auto-approval limit.,unresolved
D007,FAILED_TRANSACTION,0.9728128350564068,"Prediction primarily based on: the rule 'is verified failed' was triggered, the keyword 'fail', the keyword 'account'.",0,1,0,1,UPI,299,2025-08-01 16:45:30,Auto-refund,High-confidence prediction of a failed but debited transaction; amount is within auto-approval limit.,unresolved
D008,OTHERS,0.9143801645878684,"Prediction primarily based on: the keyword 'beneficiari', the keyword 'wrong', the keyword 'per'.",0,0,0,0,NEFT,5400,2025-08-01 17:20:12,Escalate to bank,NEFT transactions require inter-bank communication and have longer settlement cycles.,unresolved
D009,OTHERS,0.8835911998250121,"Prediction primarily based on: the keyword 'txn', the keyword 'chargeback', the keyword 'card'.",0,0,0,0,CARD,1899,2025-08-02 09:12:44,Ask for more info,The system could not confidently determine the issue from the provided description. More details are needed.,unresolved
D010,FAILED_TRANSACTION,0.8965037272328816,"Prediction primarily based on: the rule 'is verified failed' was triggered, the keyword 'fail', the rule 'contains refund keyword' was triggered.",0,1,0,1,CARD,650,2025-08-02 10:05:10,Manual review,Dispute requires agent intervention.,unresolved
